time/fps,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_rew_mean,rollout/success_rate,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/value_loss,train/loss,rollout/ep_len_mean,train/explained_variance,train/n_updates,train/clip_range,train/entropy_loss,eval/success_rate,eval/mean_ep_length,eval/mean_reward
7273,0,1,2048,,,,,,,,,,,,,,,,
6071,0,2,4096,-4.5195308,0.2,0.0003,-0.015810573229100556,0.012576763,0.085693359375,0.4969679992645979,0.153929203748703,544.0,0.15273958444595337,10,0.2,-1.786026629805565,,,
5812,1,3,6144,-12.478745111111111,0.1111111111111111,0.0003,-0.003468687838176265,0.002825001,0.00361328125,11.770559594035149,10.755922317504883,568.8888888888889,0.0459904670715332,20,0.2,-1.77916379570961,,,
5694,1,4,8192,-2.213229416666666,0.25,0.0003,-0.014426124925375917,0.009481898,0.0599609375,1.3416718415915967,0.5837774872779846,550.1666666666666,0.6952779293060303,30,0.2,-1.77248512506485,,,
,,,10000,,,0.0003,-0.003661938477307558,0.0036103078,0.003857421875,19.784142011404036,6.225490570068359,,0.18299531936645508,40,0.2,-1.7668921679258347,0.0,600.0,-1.8383143
3343,3,5,10240,6.025757944444446,0.3333333333333333,,,,,,,527.2777777777778,,,,,,,
3560,3,6,12288,5.0963648571428575,0.2857142857142857,0.0003,-0.004142333471099846,0.0063695004,0.018408203125,25.627310276031494,7.585305690765381,537.6666666666666,0.4893462657928467,50,0.2,-1.7632016986608505,,,
3733,3,7,14336,6.541433583333334,0.2916666666666667,0.0003,-0.007080009253695607,0.01043013,0.04072265625,5.663445138931275,2.1684162616729736,542.2916666666666,0.7102663516998291,60,0.2,-1.7555788189172745,,,
3874,4,8,16384,11.182774,0.3448275862068966,0.0003,-0.00849449724482838,0.0074603115,0.0404296875,11.722743889689445,3.9544758796691895,537.6551724137931,0.43610823154449463,70,0.2,-1.7557361170649528,,,
3993,4,9,18432,12.422044387096776,0.3548387096774194,0.0003,-0.007138878776459023,0.0070136706,0.044970703125,26.07494201660156,17.836957931518555,531.1935483870968,0.40848493576049805,80,0.2,-1.7438103079795837,,,
,,,20000,,,0.0003,-0.0034856541664339603,0.006414209,0.036669921875,8.847536426782607,1.7442771196365356,,0.6290920376777649,90,0.2,-1.7455864280462265,0.1,553.1,5.494311699999999
3360,6,10,20480,14.807353552631579,0.3684210526315789,,,,,,,517.2894736842105,,,,,,,
3477,6,11,22528,19.214312477272728,0.4318181818181818,0.0003,-0.0035436024045338854,0.0048021995,0.01591796875,21.755646175146104,13.967378616333008,499.79545454545456,0.47559982538223267,100,0.2,-1.7294755831360817,,,
3580,6,12,24576,21.946960224489796,0.46938775510204084,0.0003,-0.0059242768940748645,0.005979196,0.038037109375,37.105283451080325,21.259748458862305,487.9387755102041,0.3803134560585022,110,0.2,-1.7313424691557884,,,
3671,7,13,26624,25.724081090909092,0.5272727272727272,0.0003,-0.008768295083427802,0.009352287,0.07001953125,25.2835850417614,19.035831451416016,468.94545454545454,0.5074106454849243,120,0.2,-1.7110630750656128,,,
3756,7,14,28672,29.18831550000001,0.5806451612903226,0.0003,-0.002334944158792496,0.0031993296,0.00537109375,33.76385276317596,12.67705249786377,450.53225806451616,0.4919998049736023,130,0.2,-1.713326296210289,,,
,,,30000,,,0.0003,-0.005156990140676498,0.009270247,0.02958984375,36.41271538734436,11.959305763244629,,0.5076442360877991,140,0.2,-1.690664453804493,0.6,358.1,34.9874412
3512,8,15,30720,30.4188374477612,0.5970149253731343,,,,,,,450.53731343283584,,,,,,,
3588,9,16,32768,32.51877112328767,0.6301369863013698,0.0003,-0.006769392394926399,0.00907774,0.07099609375,21.78431934118271,6.756054401397705,444.2739726027397,0.5824092626571655,150,0.2,-1.6566099315881728,,,
3658,9,17,34816,34.09720456410257,0.6538461538461539,0.0003,-0.006104423518991098,0.009046685,0.05029296875,27.24398206472397,11.094877243041992,435.0128205128205,0.5834062695503235,160,0.2,-1.6705362439155578,,,
3708,9,18,36864,35.9321128,0.6823529411764706,0.0003,-0.006236683914903551,0.010130161,0.06806640625,22.753005850315095,8.85120964050293,427.47058823529414,0.5277708172798157,170,0.2,-1.625144511461258,,,
3766,10,19,38912,37.31250119780219,0.7032967032967034,0.0003,-0.007822297170059755,0.008478416,0.06142578125,28.40220069885254,10.913705825805664,420.56043956043953,0.5333459377288818,180,0.2,-1.6491952806711196,,,
,,,40000,,,0.0003,-0.0067795080365613105,0.008399356,0.047021484375,21.839669823646545,11.756232261657715,,0.5931926965713501,190,0.2,-1.6311030820012093,1.0,132.3,57.635715399999995
3727,10,20,40960,39.751669650000004,0.74,,,,,,,402.32,,,,,,,
3781,11,21,43008,43.769156489999986,0.79,0.0003,-0.004867844657565001,0.0068655675,0.0322265625,29.23988518714905,16.7408504486084,386.22,0.5921275615692139,200,0.2,-1.6377681344747543,,,
3829,11,22,45056,46.732159819999985,0.83,0.0003,-0.00640494073741138,0.009959388,0.040673828125,17.96928745508194,6.348214149475098,373.75,0.6275210380554199,210,0.2,-1.606291300058365,,,
3875,12,23,47104,49.33932146,0.87,0.0003,-0.010390994427143595,0.011100523,0.13916015625,15.865137779712677,6.957462787628174,358.13,0.7436093688011169,220,0.2,-1.606834089756012,,,
3906,12,24,49152,52.205924329999995,0.92,0.0003,-0.005639732172130607,0.0078453645,0.05654296875,19.35547502040863,10.017911911010742,342.17,0.7149689793586731,230,0.2,-1.5889976769685745,,,
,,,50000,,,0.0003,-0.00941813625395298,0.0083640395,0.074951171875,18.59528657197952,9.562220573425293,,0.6868115663528442,240,0.2,-1.5988450035452844,0.7,386.1,41.2533229
3725,13,25,51200,53.37584778999999,0.94,,,,,,,329.42,,,,,,,
3768,14,26,53248,54.51630505,0.96,0.0003,-0.012345469329738989,0.012074143,0.146435546875,16.125571846961975,7.883749961853027,317.67,0.7517465353012085,250,0.2,-1.5646974936127662,,,
3809,14,27,55296,55.571017709999985,0.98,0.0003,-0.008093754237052053,0.009278956,0.075146484375,18.6927587389946,9.452945709228516,309.08,0.7106410264968872,260,0.2,-1.5344284147024154,,,
3848,14,28,57344,55.63628769000001,0.98,0.0003,-0.006197786296252161,0.0062024845,0.059130859375,18.005765128135682,6.350576400756836,297.78,0.7316364049911499,270,0.2,-1.56019037514925,,,
3885,15,29,59392,56.24125697,0.99,0.0003,-0.00477073859074153,0.0062072757,0.027001953125,17.135013341903687,5.520407676696777,286.02,0.7497212886810303,280,0.2,-1.553375518321991,,,
,,,60000,,,0.0003,-0.007952828472480179,0.009573891,0.049267578125,15.173296070098877,5.775670051574707,,0.7582212686538696,290,0.2,-1.5396417185664177,0.8,263.5,46.26892300000001
3790,16,30,61440,56.30301745999999,0.99,,,,,,,278.18,,,,,,,
3824,16,31,63488,56.32243848000001,0.99,0.0003,-0.007176114921458065,0.0115932375,0.061083984375,14.761192619800568,7.63214635848999,264.4,0.7399095296859741,300,0.2,-1.5216599196195602,,,
3856,16,32,65536,56.317999140000005,0.99,0.0003,-0.005924837914062664,0.011198018,0.051806640625,16.805196905136107,10.330107688903809,260.12,0.7525632381439209,310,0.2,-1.5146598398685456,,,
3879,17,33,67584,56.33878511000001,0.99,0.0003,-0.0051621010818053035,0.0068279263,0.028076171875,12.986570847034454,5.45343017578125,259.74,0.7795999050140381,320,0.2,-1.497486099600792,,,
3909,17,34,69632,56.314645870000014,0.99,0.0003,-0.005647006220533513,0.005654499,0.054736328125,17.270490288734436,8.908110618591309,251.77,0.7246017456054688,330,0.2,-1.468667197227478,,,
,,,70000,,,0.0003,-0.01053258148021996,0.009227714,0.070654296875,15.681470227241515,9.101759910583496,,0.7485905885696411,340,0.2,-1.4762651666998863,0.9,216.4,52.3257289
3846,18,35,71680,56.35536810999999,0.99,,,,,,,244.86,,,,,,,
3875,19,36,73728,56.92549753,1.0,0.0003,-0.005545682623051107,0.0049663256,0.024951171875,12.160542869567871,4.396063804626465,233.11,0.7685776948928833,350,0.2,-1.4593648672103883,,,
3902,19,37,75776,56.94715258,1.0,0.0003,-0.005507537125959061,0.0061442237,0.041259765625,17.046223270893098,7.476578235626221,229.79,0.7212115526199341,360,0.2,-1.4210237368941308,,,
3929,19,38,77824,56.94388016999999,1.0,0.0003,-0.005686376985977404,0.008977017,0.05283203125,10.498141753673554,4.592957973480225,225.2,0.8007946610450745,370,0.2,-1.453644697368145,,,
3954,20,39,79872,56.93563821,1.0,0.0003,-0.005077579012140632,0.0066946233,0.044921875,14.196549606323241,8.523862838745117,226.96,0.7691135406494141,380,0.2,-1.4242344498634338,,,
,,,80000,,,0.0003,-0.00490767749142833,0.0073362915,0.04140625,12.703299629688264,5.870029449462891,,0.7554495930671692,390,0.2,-1.392579361796379,0.9,177.8,52.334814099999996
3910,20,40,81920,56.910506090000005,1.0,,,,,,,223.91,,,,,,,
3936,21,41,83968,56.93117118999999,1.0,0.0003,-0.005586294207023457,0.00776002,0.051611328125,12.306020939350129,6.058269500732422,220.09,0.7287161946296692,400,0.2,-1.402642047405243,,,
3960,21,42,86016,56.97346175,1.0,0.0003,-0.006546490587061271,0.007761107,0.037548828125,13.026330149173736,5.305180072784424,219.23,0.6990348696708679,410,0.2,-1.392026749253273,,,
3983,22,43,88064,57.0439525,1.0,0.0003,-0.007306566595798358,0.008001792,0.07080078125,10.710452204942703,4.997122287750244,210.26,0.7311133146286011,420,0.2,-1.364199036359787,,,
,,,90000,,,0.0003,-0.007463229940913152,0.008304311,0.057958984375,11.688403522968292,5.589054584503174,,0.7196307182312012,430,0.2,-1.3309375450015068,1.0,172.8,57.4169964
3943,22,44,90112,57.08655562999999,1.0,,,,,,,203.6,,,,,,,
3966,23,45,92160,57.147988160000004,1.0,0.0003,-0.0037435534526593984,0.0061686705,0.020654296875,10.954284393787384,4.6809234619140625,197.02,0.7700914740562439,440,0.2,-1.323124061524868,,,
3988,23,46,94208,57.170873930000006,1.0,0.0003,-0.007225166048738174,0.00786817,0.0548828125,10.04269986152649,4.390328407287598,191.92,0.789482831954956,450,0.2,-1.2783451959490777,,,
4008,24,47,96256,57.15941984,1.0,0.0003,-0.006445008699665777,0.009350061,0.055126953125,10.146295636892319,4.273399829864502,188.27,0.770861804485321,460,0.2,-1.2783111020922662,,,
4022,24,48,98304,57.21026615999999,1.0,0.0003,-0.010606572788674384,0.00931599,0.080615234375,13.026953649520873,7.158219814300537,179.28,0.7318212985992432,470,0.2,-1.2322448149323464,,,
,,,100000,,,0.0003,-0.004770581604680047,0.004907964,0.0474609375,12.271698021888733,5.064084053039551,,0.6978757381439209,480,0.2,-1.196093961596489,0.6,318.7,36.7233435
3940,25,49,100352,57.204908200000006,1.0,,,,,,,180.37,,,,,,,
