controller,condition,seed,success,steps,path_length,collisions,tortuosity,odor_detection_percentage,final_distance_to_source
random,normal,100,False,1200,78.55999999999997,71,7.014036007448032,62.5,2.829927385165677
random,normal,101,False,1200,81.59999999999994,121,16.88801200223525,31.833333333333336,16.388190855406794
random,normal,102,False,1200,69.44,149,5.642596076460382,34.08333333333333,6.193002205064805
random,normal,103,False,1200,73.4400000000001,150,27.940074509745003,30.833333333333336,12.47448063864243
random,normal,104,False,1200,85.43999999999998,83,14.894279411761312,29.75,13.672339220467144
random,normal,105,False,1200,71.35999999999999,178,5.817639710969845,36.333333333333336,7.019674931243511
random,normal,106,False,1200,77.28,127,4.971427432294908,52.916666666666664,3.7079489492059965
random,normal,107,False,1200,64.00000000000001,169,9.666078734611029,35.41666666666667,9.821618176662033
random,normal,108,False,1200,94.56000000000003,4,35.91809843157116,32.83333333333333,16.389233794743586
random,normal,109,False,1200,73.91999999999994,148,15.065713294631157,55.833333333333336,10.853083183155796
random,normal,110,False,1200,90.23999999999995,24,15.295601911447541,36.333333333333336,8.37941899675911
random,normal,111,False,1200,81.27999999999992,115,20.97441829410127,18.833333333333332,15.73297151266859
random,normal,112,False,1200,80.80000000000004,113,11.900170638971325,22.0,15.39976307767678
random,normal,113,False,1200,95.2,14,18.326272012129166,67.08333333333333,16.18930298820139
random,normal,114,False,1200,91.04000000000002,36,13.04266101110838,28.000000000000004,7.982259273672787
random,normal,115,False,1200,65.44,225,11.6557179145935,0.9166666666666666,13.846311497333355
random,normal,116,False,1200,78.72000000000003,114,13.999044454590658,42.083333333333336,12.040643477858344
random,normal,117,False,1200,64.47999999999999,204,23.234181287071266,27.333333333333332,15.544022880211815
random,normal,118,False,1200,83.68,42,14.352830394922865,33.33333333333333,9.161529457098993
random,normal,119,False,1200,84.47999999999999,70,5.387295702488016,47.083333333333336,5.703079338566748
random,normal,120,False,1200,84.32000000000002,113,33.0771834594697,49.583333333333336,16.33046900696131
random,normal,121,False,1200,87.84,46,9.6847053546716,32.83333333333333,10.631946356913943
random,normal,122,False,1200,63.839999999999975,254,5.618377909021841,8.25,7.087609002162073
random,normal,123,False,1200,85.11999999999996,87,25.1383431301163,49.0,13.10708866751907
random,normal,124,False,1200,80.79999999999997,76,14.002180805076437,43.5,15.506707199203746
random,normal,125,False,1200,82.71999999999998,87,8.204590440602217,36.5,7.5953765934606965
random,normal,126,False,1200,61.75999999999999,204,13.32780725932681,25.083333333333336,15.87752849958078
