controller,condition,seed,success,steps,path_length,collisions,tortuosity,odor_detection_percentage,final_distance_to_source,total_reward
rl,left_disabled,2000,False,600,23.359999999999985,0,1.5047284601893325,4.666666666666667,3.9802699143593303,0.3002231206079453
rl,left_disabled,2001,False,600,22.72,0,1.5076011340925846,4.833333333333333,4.065501050064841,0.2807413616364798
rl,left_disabled,2002,False,600,25.279999999999987,0,1.5449927212215382,5.5,4.376830266636362,0.1763623946974333
rl,left_disabled,2003,False,600,18.080000000000005,0,1.1995479126720114,2.5,2.490373182549914,1.1054402869688063
rl,left_disabled,2004,False,600,26.24,0,1.686489328045464,6.166666666666667,4.4376037693648716,0.12241416501344472
rl,left_disabled,2005,False,600,22.88000000000001,0,1.4570818226257451,5.166666666666667,4.412332003504573,0.0626899910023929
rl,left_disabled,2006,False,600,16.96,0,1.1236863349627724,2.3333333333333335,2.5645076523540484,1.0024917084581784
rl,left_disabled,2007,False,600,23.19999999999999,0,1.4802590478262734,4.0,4.4039022727877075,-0.0022338855333884113
rl,left_disabled,2008,False,600,24.16,0,1.5154996212144323,6.333333333333334,4.417504006515451,0.14134460995300335
rl,left_disabled,2009,False,600,24.000000000000007,0,1.5128109419134022,5.0,4.3152416324099185,0.11438343796801734
rl,left_disabled,2010,False,600,18.080000000000002,0,1.187700664146815,2.166666666666667,3.9697928159440696,0.1505615885913556
rl,left_disabled,2011,False,600,16.479999999999993,0,1.0737468104228889,2.3333333333333335,2.7339934178852876,0.9206819421363539
rl,left_disabled,2012,False,600,23.680000000000014,0,1.5743297305291906,6.333333333333334,4.162303422502674,0.34483490230065694
rl,left_disabled,2013,False,600,22.72,0,1.4954630675954506,4.666666666666667,4.243059878514378,0.1535908068407006
rl,left_disabled,2014,False,600,23.519999999999992,0,1.4972155383487105,4.833333333333333,4.267272678026525,0.14535997681943424
rl,left_disabled,2015,False,600,17.599999999999998,0,1.1447585756118526,3.166666666666667,2.929185148472658,0.8588695891562852
rl,left_disabled,2016,False,600,17.440000000000005,0,1.1450056827935284,3.0,2.619897847809175,1.0168694127019304
rl,left_disabled,2017,False,600,23.199999999999992,0,1.4668207699323843,5.0,4.334932041159532,0.09945512287829432
rl,left_disabled,2018,False,600,62.239999999999995,0,4.019543877686206,47.833333333333336,4.447968821092463,2.636419767058984
rl,left_disabled,2019,False,600,22.719999999999988,0,1.4837559131991835,4.833333333333333,4.152329071949259,0.1997473708739841
rl,left_disabled,2020,False,600,16.64,0,1.1060144493197361,2.3333333333333335,2.792877510236331,0.8643440191373872
rl,left_disabled,2021,False,600,17.919999999999987,0,1.1950254280882437,3.166666666666667,2.7442512909357,1.0099804752336334
rl,left_disabled,2022,False,600,32.15999999999998,0,2.1198485447791215,16.0,4.061987594429508,0.9794134314320668
rl,left_disabled,2023,False,600,17.919999999999995,0,1.1618719842148895,4.166666666666666,2.5857964054367804,1.1252751321340817
rl,left_disabled,2024,False,600,16.480000000000008,0,1.0736936430350783,2.166666666666667,2.6133229378654104,0.9899407828323343
rl,left_disabled,2025,False,600,23.36000000000001,0,1.4952084653301239,4.5,4.576614110722837,-0.07119666708457831
rl,left_disabled,2026,False,600,16.64,0,1.1072817634830614,2.3333333333333335,2.565116893649355,1.0076388511072771
rl,left_disabled,2027,False,600,23.040000000000013,0,1.470442664673274,4.333333333333334,4.558519234392949,-0.07064776933961373
rl,left_disabled,2028,False,600,23.519999999999996,0,1.489990621627773,4.833333333333333,4.558269507001096,-0.042025047080889666
rl,left_disabled,2029,False,600,22.719999999999988,0,1.506702374445838,6.333333333333334,3.7338734850954647,0.6124113634814468
