controller,condition,seed,success,steps,path_length,collisions,tortuosity,odor_detection_percentage,final_distance_to_source,total_reward
rl,normal,2000,True,275,35.67999999999999,0,2.4562316539101787,77.81818181818181,0.41036856061659754,57.61349724857016
rl,normal,2001,True,123,15.680000000000017,0,1.0911418408136853,53.65853658536586,0.40816021161868926,57.60156899072167
rl,normal,2002,True,274,38.39999999999999,0,2.66294831193103,82.11678832116789,0.4394268226055564,57.64736177112353
rl,normal,2003,True,124,16.959999999999994,0,1.1766660553828796,56.451612903225815,0.42626291978607944,57.632127932050146
rl,normal,2004,True,117,16.959999999999994,0,1.1830473055031476,51.28205128205128,0.43582406194550954,57.63329650388232
rl,normal,2005,True,110,15.520000000000021,0,1.0883515323352095,54.54545454545454,0.39696260781601733,57.66184462832942
rl,normal,2006,True,122,17.120000000000008,0,1.1842177398806855,54.09836065573771,0.42516574610252417,57.65935030724288
rl,normal,2007,True,108,15.839999999999996,0,1.0967852881202433,54.629629629629626,0.3875931193596839,57.71024087705742
rl,normal,2008,True,125,16.32,0,1.1266002767033112,55.2,0.4235159358321794,57.64094970356721
rl,normal,2009,True,99,14.880000000000015,0,1.0558393283588248,50.505050505050505,0.449124089463191,57.6407332995834
rl,normal,2010,True,137,16.32,0,1.1228723356734982,53.284671532846716,0.4116398016354988,57.59182255413707
rl,normal,2011,True,108,15.84000000000002,0,1.099914528466673,55.55555555555556,0.425870132170284,57.66478017316436
rl,normal,2012,True,108,15.680000000000007,0,1.0906707092790155,54.629629629629626,0.42051300717799567,57.65772036405863
rl,normal,2013,True,113,16.160000000000007,0,1.1213983949605049,53.98230088495575,0.4494907130250932,57.64222424358386
rl,normal,2014,True,196,27.36000000000001,0,1.9144635801190106,71.93877551020408,0.434101053362364,57.627112104446894
rl,normal,2015,True,112,14.719999999999976,0,1.0815360797927052,50.89285714285714,0.44376155099244285,57.594942312679514
rl,normal,2016,True,119,16.799999999999994,0,1.1843628007458997,53.78151260504202,0.31777924666597446,57.71730781582466
rl,normal,2017,True,213,29.760000000000005,0,2.0634541613029627,76.52582159624414,0.41629076459780306,57.65452518393957
rl,normal,2018,True,165,22.4,0,1.5899643145514943,67.27272727272727,0.33335930459805896,57.67545911238782
rl,normal,2019,True,120,16.320000000000007,0,1.1252815468863466,55.00000000000001,0.40243242089153225,57.68079797920139
rl,normal,2020,True,117,16.80000000000001,0,1.1615945995977068,52.991452991452995,0.42015258433522,57.647971965925336
rl,normal,2021,True,125,15.839999999999995,0,1.099316924333608,53.6,0.43796151597822025,57.56749119514503
rl,normal,2022,True,341,43.999999999999986,0,3.204143287908954,82.69794721407625,0.4359834782671121,57.59584657654199
rl,normal,2023,True,123,15.199999999999998,0,1.0957813721859648,52.03252032520326,0.32512714806569193,57.685311009945934
rl,normal,2024,True,109,15.840000000000005,0,1.0970515978473239,55.04587155963303,0.4267491348270104,57.668568209357446
rl,normal,2025,True,116,15.84,0,1.1044479378982317,53.44827586206896,0.37090692002387626,57.64706880107577
rl,normal,2026,True,140,16.639999999999972,0,1.142665930845126,54.285714285714285,0.4441527654954195,57.56816380717306
rl,normal,2027,True,278,38.56000000000001,0,2.6749483697328107,80.93525179856115,0.4130484400180803,57.6323225411341
rl,normal,2028,False,600,3.360000000000002,0,1.1190276282050409,0.0,11.417421500485668,-4.3708699551964365
rl,normal,2029,True,183,26.400000000000006,0,1.838198622726238,73.224043715847,0.4028757979858379,57.69394499214046
rl,normal,2030,True,129,16.160000000000014,0,1.1268335684120379,54.263565891472865,0.4349968492287288,57.6030373634035
rl,normal,2031,True,116,15.679999999999994,0,1.086015724392922,53.44827586206896,0.429209726851177,57.61754368664624
rl,normal,2032,True,112,16.0,0,1.108200555297708,55.35714285714286,0.4286121160511429,57.65297522129823
rl,normal,2033,True,116,15.679999999999989,0,1.0938726357750792,53.44827586206896,0.4123281695221992,57.617210671019016
rl,normal,2034,True,133,17.279999999999998,0,1.222344224063479,58.64661654135338,0.35694257979057215,57.69097251815661
rl,normal,2035,True,121,15.84,0,1.1038223238952694,53.71900826446281,0.44056503171486533,57.604280819370786
rl,normal,2036,True,99,14.56000000000001,0,1.0645223917245468,48.484848484848484,0.34133586357324197,57.68734402077335
rl,normal,2037,True,115,16.16,0,1.1324984887205183,53.91304347826087,0.3346513487344375,57.69060146371829
rl,normal,2038,True,104,15.679999999999989,0,1.0907825451028859,53.84615384615385,0.36470374209510775,57.74211751064529
rl,normal,2039,True,110,15.679999999999987,0,1.0898070121125867,54.54545454545454,0.44103391242914874,57.63727068959966
rl,normal,2040,True,121,16.8,0,1.172660106671357,54.54545454545454,0.42124007800234026,57.652634944137944
rl,normal,2041,True,193,26.72000000000001,0,1.855918300104772,72.02072538860104,0.4449999748143737,57.66036582273655
rl,normal,2042,True,113,16.480000000000004,0,1.1407809595698906,54.86725663716814,0.4108835161729304,57.66473672104931
rl,normal,2043,True,176,24.79999999999999,0,1.812094714241811,71.5909090909091,0.3229395075484224,57.711488447223985
rl,normal,2044,True,132,16.480000000000004,0,1.134957322752415,54.54545454545454,0.4242466255692902,57.60325683407981
rl,normal,2045,True,167,23.84,0,1.7476630157286768,68.26347305389223,0.42652994255725857,57.63055459101021
rl,normal,2046,True,125,15.679999999999993,0,1.1033769719859794,54.400000000000006,0.38943085989063375,57.64714361368959
rl,normal,2047,True,117,15.51999999999999,0,1.1067166650608768,52.991452991452995,0.38472046567140994,57.62330480272588
rl,normal,2048,True,97,14.240000000000006,0,1.0487221686623371,48.45360824742268,0.4482283276589038,57.63360095704711
rl,normal,2049,True,202,27.680000000000014,0,1.9100742648791764,73.26732673267327,0.42994631258873306,57.6438940374176
