controller,condition,episodes,success_rate,success_ci95_low,success_ci95_high,mean_success_steps,mean_path_length,mean_collisions,mean_tortuosity,mean_odor_detection_percentage
moth,changed_wind,50,0.0,0.0,7.134759913335873,nan,21.6768,442.2,5.631264892743022,78.26
moth,left_disabled,50,0.0,0.0,7.134759913335873,nan,85.00479999999999,33.28,302.996177655343,57.64666666666666
moth,moderate_noise,50,76.0,62.58731624205708,85.70260860300827,312.10526315789474,38.256,141.46,3.371951473540061,66.9926596506828
moth,new_obstacles,50,0.0,0.0,7.134759913335873,nan,27.09119999999999,408.72,2.8587851784059906,78.58333333333333
moth,normal,50,84.0,71.485783936965,91.6625793219666,264.8095238095238,34.691199999999995,79.66,2.8912163751194657,54.892388894771386
moth,sensor_dropout,50,82.0,69.20394632569922,90.22980732976582,296.0731707317073,43.801599999999986,49.16,3.36497828427934,47.69948766754882
ppo_normal,changed_wind,50,6.0,2.061497034897397,16.217091688838174,364.3333333333333,17.568000000000005,0.4,1.9084918190924538,14.052101308489972
ppo_normal,left_disabled,50,0.0,0.0,7.134759913335873,nan,23.350400000000004,0.0,2.881547618890689,6.6866666666666665
ppo_normal,moderate_noise,50,92.0,81.16175308165717,96.84504859114071,249.0,23.1424,0.0,1.6280076933490049,62.70707823529828
ppo_normal,new_obstacles,50,82.0,69.20394632569922,90.22980732976582,222.34146341463415,25.1104,2.34,1.8139802926410626,53.75491242652825
ppo_normal,normal,50,100.0,92.86524008666413,100.0,132.2,18.198400000000003,0.0,1.2756606877270682,56.542151728374066
ppo_normal,sensor_dropout,50,98.0,89.50455641036218,99.64607407283539,169.57142857142858,20.4224,0.0,1.4440914250812427,60.941842782388285
ppo_robust,changed_wind,50,72.0,58.33487630404343,82.52582933408878,185.0,22.563200000000002,0.0,1.7572353842127937,40.34101286084263
ppo_robust,left_disabled,50,68.0,54.18970269185592,79.24178373934316,185.44117647058823,22.521600000000003,0.0,2.2534870047426585,13.935716075054547
ppo_robust,moderate_noise,50,96.0,86.53990931249297,98.89611156723802,322.5208333333333,29.7504,0.0,2.121113189292862,72.35627634834951
ppo_robust,new_obstacles,50,92.0,81.16175308165717,96.84504859114071,166.84782608695653,23.0176,0.0,1.6601397086474126,17.600638983013003
ppo_robust,normal,50,74.0,60.44684273515117,84.12847250644762,166.35135135135135,19.6736,0.0,1.9528001679489018,32.92882163462154
ppo_robust,sensor_dropout,50,68.0,54.18970269185592,79.24178373934316,203.97058823529412,23.043200000000002,0.0,2.30719796651178,31.19323207043858
random,changed_wind,50,0.0,0.0,7.134759913335873,nan,39.44,54.18,12.303786064389652,44.35666666666667
random,left_disabled,50,2.0,0.3539259271646236,10.495443589637816,421.0,40.5408,45.38,8.38093278842638,33.1806017418844
random,moderate_noise,50,2.0,0.3539259271646236,10.495443589637816,421.0,40.5408,45.38,8.38093278842638,59.45269200316706
random,new_obstacles,50,0.0,0.0,7.134759913335873,nan,38.550399999999996,59.74,8.49075233026348,37.36
random,normal,50,2.0,0.3539259271646236,10.495443589637816,421.0,40.5408,45.38,8.38093278842638,35.93726840855107
random,sensor_dropout,50,2.0,0.3539259271646236,10.495443589637816,421.0,40.5408,45.38,8.38093278842638,32.850601741884404
