policy,observation_condition,episodes,success_rate,success_ci95_low,success_ci95_high,mean_success_steps,mean_path_length,mean_actual_odor_detection_percentage
ppo_normal,odor_blind,50,6.0,2.061497034897397,16.217091688838174,104.0,12.476800000000003,66.76434652725915
ppo_normal,odor_blind_wind_rotated,50,0.0,0.0,7.134759913335873,nan,6.0736,0.0
ppo_normal,odor_wind_blind,50,0.0,0.0,7.134759913335873,nan,96.00000000000001,68.19
ppo_normal,unmasked,50,100.0,92.86524008666413,100.0,145.28,19.750400000000003,58.94182356196854
ppo_normal,wind_blind,50,50.0,36.64451431682858,63.35548568317142,337.16,68.01280000000001,63.726680371787346
ppo_normal,wind_rotated,50,0.0,0.0,7.134759913335873,nan,6.5824,0.0
ppo_robust,odor_blind,50,36.0,24.13874965184674,49.858983123887306,224.5,48.464000000000006,17.164252508075723
ppo_robust,odor_blind_wind_rotated,50,2.0,0.3539259271646236,10.495443589637816,569.0,47.22240000000001,14.874633860574106
ppo_robust,odor_wind_blind,50,0.0,0.0,7.134759913335873,nan,95.9936,57.93666666666667
ppo_robust,unmasked,50,70.0,56.249649535546595,80.89644649911905,177.74285714285713,20.6784,26.125268338075514
ppo_robust,wind_blind,50,16.0,8.337420678033403,28.514216063034993,414.125,61.856000000000016,72.74202116953512
ppo_robust,wind_rotated,50,2.0,0.3539259271646236,10.495443589637816,331.0,51.711999999999996,6.904511581067473
